City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
388,Derzhavinsk,KZ,51.1,66.3167,68.18,67,84,10.29,light rain
389,Sur,OM,22.5667,59.5289,90.64,39,86,12.97,overcast clouds
390,Vizinga,RU,61.0749,50.1031,31.08,80,2,4.52,clear sky
391,Whitley Bay,GB,55.0397,-1.4471,49.8,95,3,7.38,clear sky
392,Barabai,ID,-2.5833,115.3833,76.39,88,84,1.3,broken clouds
393,Westport,US,41.1415,-73.3579,51.94,93,90,1.01,light rain
394,Wewak,PG,-3.5534,143.6268,79.95,88,66,6.64,light rain
395,Kiunga,PG,-6.1219,141.2906,76.05,87,100,4.03,overcast clouds
396,Barra Do Bugres,BR,-15.0725,-57.1811,75.79,47,61,0.65,broken clouds
397,Ndele,CF,8.4109,20.6473,79.25,51,43,3.06,scattered clouds
398,Riyadh,SA,24.6877,46.7219,88.21,12,0,3.91,clear sky
399,Longyearbyen,SJ,78.2186,15.6401,33.64,80,90,2.3,overcast clouds
400,Eaton Socon,GB,52.2175,-0.2893,51.06,87,3,5.61,clear sky
401,Maceio,BR,-9.6658,-35.7353,76.44,94,75,8.1,broken clouds
402,Korla,CN,41.7597,86.1469,72.81,24,11,6.35,few clouds
403,Houma,US,29.5958,-90.7195,84.0,61,40,6.91,scattered clouds
404,Lovozero,RU,68.005,35.0117,42.37,75,91,3.11,overcast clouds
405,Desaguadero,PE,-16.5656,-69.0417,47.48,54,95,3.58,overcast clouds
406,Syasstroy,RU,60.1367,32.5691,38.64,73,6,2.51,clear sky
407,Katangli,RU,51.7102,143.2326,39.76,70,100,10.18,overcast clouds
408,Havelock,US,34.8791,-76.9013,61.03,89,90,10.36,overcast clouds
409,Stromness,GB,58.965,-3.296,46.65,93,0,13.11,clear sky
410,Bogdanovich,RU,56.7803,62.0494,51.53,95,100,14.9,overcast clouds
411,Lahaina,US,20.8783,-156.6825,85.95,75,80,3.06,broken clouds
412,Semey,KZ,50.4111,80.2275,55.89,55,58,5.64,broken clouds
413,Kilakarai,IN,9.2333,78.7833,83.35,66,34,12.93,scattered clouds
414,Anzio,IT,41.4853,12.6179,65.35,90,15,4.0,few clouds
415,Znamensk,RU,48.5842,45.7338,63.5,88,100,11.79,overcast clouds
416,Olga,RU,43.7444,135.2892,45.99,90,100,2.89,overcast clouds
417,Ojinaga,MX,29.5667,-104.4167,86.95,45,1,16.11,clear sky
418,Great Yarmouth,GB,52.6083,1.7305,50.02,90,3,10.02,clear sky
419,Wanxian,CN,30.8039,108.3897,75.74,84,100,1.74,overcast clouds
420,Cedar City,US,37.6775,-113.0619,79.39,10,1,13.91,clear sky
421,Batagay-Alyta,RU,67.8006,130.4114,42.91,84,100,7.27,light rain
422,Chimala,TZ,-8.85,34.0167,58.01,65,72,3.29,broken clouds
423,Pochutla,MX,15.7432,-96.4661,80.82,66,77,5.44,broken clouds
424,Lavrentiya,RU,65.5833,-171.0,37.74,75,17,12.82,few clouds
425,Nuuk,GL,64.1835,-51.7216,36.21,87,90,10.36,overcast clouds
426,Nanakuli,US,21.3906,-158.1547,85.37,56,1,8.32,clear sky
427,Kamaishi,JP,39.2667,141.8833,61.75,59,5,1.45,clear sky
428,Ilulissat,GL,69.2167,-51.1,35.62,80,75,14.97,broken clouds
429,La Baule-Escoublac,FR,47.2922,-2.364,64.35,74,0,9.62,clear sky
430,Ermelo,ZA,-26.5333,29.9833,42.24,87,100,7.96,overcast clouds
431,Yar-Sale,RU,66.8333,70.8333,35.69,67,7,12.37,clear sky
432,Novikovo,RU,51.1537,37.8879,49.59,93,100,7.45,overcast clouds
433,Caravelas,BR,-17.7125,-39.2481,75.2,86,14,6.44,few clouds
434,Ingham,US,42.6,-84.3833,69.03,36,1,0.0,clear sky
435,Qaqortoq,GL,60.7167,-46.0333,48.7,72,0,3.96,clear sky
436,Ulladulla,AU,-35.35,150.4667,51.87,65,1,2.42,clear sky
437,Taoudenni,ML,22.6783,-3.9836,103.95,8,100,6.64,overcast clouds
438,Ambon,ID,-3.6954,128.1814,77.14,88,40,9.22,scattered clouds
439,Cascais,PT,38.6979,-9.4215,66.51,70,5,1.99,clear sky
440,Port Blair,IN,11.6667,92.75,81.12,83,100,4.27,overcast clouds
441,Mogadishu,SO,2.0371,45.3438,78.19,84,89,16.51,overcast clouds
442,Rocha,UY,-34.4833,-54.3333,42.28,70,27,5.57,scattered clouds
443,Vestmannaeyjar,IS,63.4427,-20.2734,45.3,80,47,13.67,scattered clouds
444,Baryshivka,UA,50.361,31.3217,54.0,92,67,7.25,broken clouds
445,Tazovskiy,RU,67.4667,78.7,37.35,87,72,11.86,broken clouds
446,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,61,75,7.43,broken clouds
447,Borogontsy,RU,62.6683,131.1683,52.47,69,77,5.32,broken clouds
448,Nushki,PK,29.5542,66.0215,81.19,11,0,4.29,clear sky
449,Kongolo,CD,-5.3833,27.0,69.91,55,35,4.0,scattered clouds
450,Pedreiras,BR,-4.5688,-44.6003,78.91,80,81,1.5,broken clouds
451,Alice Springs,AU,-23.7,133.8833,53.15,35,88,3.85,overcast clouds
452,Sayyan,YE,15.1718,44.3244,65.73,18,9,8.61,clear sky
453,Shirvan,AZ,39.9509,48.8994,71.69,70,0,3.49,clear sky
454,Coahuayana,MX,18.7333,-103.6833,89.15,43,88,6.62,overcast clouds
455,Senanga,ZM,-16.1167,23.2667,55.13,33,3,3.56,clear sky
456,Yuzhno-Kurilsk,RU,44.0306,145.8556,40.08,88,91,26.35,overcast clouds
457,Tabas,IR,33.5959,56.9244,87.94,9,0,3.94,clear sky
458,Airai,TL,-8.9266,125.4092,60.84,79,100,1.86,overcast clouds
459,Puri,IN,19.8,85.85,88.38,90,52,16.24,broken clouds
460,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,87,40,4.61,scattered clouds
461,Litovko,RU,49.2361,135.1742,54.34,55,100,6.58,overcast clouds
462,Beringovskiy,RU,63.05,179.3167,38.46,74,40,12.37,scattered clouds
463,Milkovo,RU,54.7167,158.6167,47.79,73,99,4.79,overcast clouds
464,Montlucon,FR,46.3333,2.6,51.71,88,70,2.35,broken clouds
465,Oni,GE,42.5794,43.4425,51.49,91,26,4.83,scattered clouds
466,Ambilobe,MG,-13.2,49.05,69.37,89,3,3.58,clear sky
467,Marathon,US,44.9,-89.7668,61.48,76,90,4.7,overcast clouds
468,Samana,DO,19.2056,-69.3369,82.36,78,11,10.02,few clouds
469,Helong,CN,42.5397,128.9972,62.53,56,59,2.42,broken clouds
470,Puerto Escondido,MX,15.85,-97.0667,85.41,73,93,7.4,overcast clouds
471,Vallenar,CL,-28.5708,-70.7581,65.68,50,0,1.3,clear sky
472,Guerrero Negro,MX,27.9769,-114.0611,66.65,60,3,19.98,clear sky
473,Port Keats,AU,-14.25,129.55,70.97,50,97,7.9,overcast clouds
474,Parral,MX,26.9333,-105.6667,90.46,11,100,17.56,overcast clouds
475,Nemuro,JP,43.3236,145.575,41.56,81,94,19.69,overcast clouds
476,Gushikawa,JP,26.3544,127.8686,76.23,90,75,21.25,broken clouds
477,Vao,NC,-22.6667,167.4833,69.49,59,92,13.42,overcast clouds
478,San Cristobal,VE,7.7669,-72.225,75.38,86,39,3.96,scattered clouds
479,Eyl,SO,7.9803,49.8164,78.75,82,100,19.64,overcast clouds
480,Canete,CL,-37.8,-73.4,53.44,96,100,5.06,light rain
481,Kharan,PK,28.5833,65.4167,83.28,10,0,5.44,clear sky
482,Dudinka,RU,69.4058,86.1778,33.44,99,100,12.5,overcast clouds
483,Abalak,RU,58.1286,68.5944,57.51,65,16,1.43,few clouds
484,Turinsk,RU,58.0458,63.696,50.23,90,100,12.86,overcast clouds
485,Haines Junction,CA,60.7522,-137.5108,50.85,65,99,6.87,overcast clouds
486,Kanniyakumari,IN,8.0833,77.5667,80.13,83,90,20.07,overcast clouds
487,Waipawa,NZ,-41.4122,175.5153,49.03,86,100,6.17,light rain
488,Limbang,MY,4.75,115.0,77.11,95,94,1.45,overcast clouds
489,Zhezkazgan,KZ,47.8043,67.7144,69.6,53,90,5.61,overcast clouds
490,Calama,CL,-22.4667,-68.9333,57.69,19,0,8.05,clear sky
491,Siavonga,ZM,-16.5382,28.7088,64.47,47,0,4.23,clear sky
492,San Quintin,MX,30.4833,-115.95,64.08,65,64,12.95,broken clouds
493,Mbaiki,CF,3.8678,17.9892,74.59,77,60,2.37,broken clouds
494,Warangal,IN,18.0,79.5833,89.28,44,55,4.47,broken clouds
